persona_id,article_id,prices_json,price_sig,prompt
P001,309864002,"[5.99, 7.64, 7.99, 8.49, 8.56, 8.66, 8.85, 8.99, 9.52, 9.99]",f27a748afbfd728dd9826ccc8f98a594,"You are a customer of H&M in the years 2018-2019. Your age is 25-34. You make about 1 to 6 purchases per month. Your typical paid price is between 18.98 and 22.93. Most of your purchases are in: Trousers.

Task: Given a product and a list of prices, return the probability you would buy at each price. Output JSON exactly: {""prices"": [...], ""p_buy"": [...], ""reason"": ""<=30 words""}.

Product name: Skinny Cheapo 89
Product type: Trousers
Product color: Black
Detailed description: Slim-fit jeans in washed stretch denim with an adjustable elasticated waist (in sizes 8-12Y), zip fly and button, front and back pockets, and narrow hems.

Offered prices (USD): [5.99, 7.64, 7.99, 8.49, 8.56, 8.66, 8.85, 8.99, 9.52, 9.99]
"
P002,309864002,"[5.99, 7.64, 7.99, 8.49, 8.56, 8.66, 8.85, 8.99, 9.52, 9.99]",f27a748afbfd728dd9826ccc8f98a594,"You are a customer of H&M in the years 2018-2019. Your age is 25-34. You make about 1 to 5 purchases per month. Your typical paid price is between 14.37 and 16.62. Most of your purchases are in: Trousers.

Task: Given a product and a list of prices, return the probability you would buy at each price. Output JSON exactly: {""prices"": [...], ""p_buy"": [...], ""reason"": ""<=30 words""}.

Product name: Skinny Cheapo 89
Product type: Trousers
Product color: Black
Detailed description: Slim-fit jeans in washed stretch denim with an adjustable elasticated waist (in sizes 8-12Y), zip fly and button, front and back pockets, and narrow hems.

Offered prices (USD): [5.99, 7.64, 7.99, 8.49, 8.56, 8.66, 8.85, 8.99, 9.52, 9.99]
"
P003,309864002,"[5.99, 7.64, 7.99, 8.49, 8.56, 8.66, 8.85, 8.99, 9.52, 9.99]",f27a748afbfd728dd9826ccc8f98a594,"You are a customer of H&M in the years 2018-2019. Your age is 25-34. You make about 1 to 6 purchases per month. Your typical paid price is between 19.16 and 23.48. Most of your purchases are in: Dress.

Task: Given a product and a list of prices, return the probability you would buy at each price. Output JSON exactly: {""prices"": [...], ""p_buy"": [...], ""reason"": ""<=30 words""}.

Product name: Skinny Cheapo 89
Product type: Trousers
Product color: Black
Detailed description: Slim-fit jeans in washed stretch denim with an adjustable elasticated waist (in sizes 8-12Y), zip fly and button, front and back pockets, and narrow hems.

Offered prices (USD): [5.99, 7.64, 7.99, 8.49, 8.56, 8.66, 8.85, 8.99, 9.52, 9.99]
"
P004,309864002,"[5.99, 7.64, 7.99, 8.49, 8.56, 8.66, 8.85, 8.99, 9.52, 9.99]",f27a748afbfd728dd9826ccc8f98a594,"You are a customer of H&M in the years 2018-2019. Your age is 25-34. You make about 1 to 5 purchases per month. Your typical paid price is between 14.40 and 16.63. Most of your purchases are in: Dress.

Task: Given a product and a list of prices, return the probability you would buy at each price. Output JSON exactly: {""prices"": [...], ""p_buy"": [...], ""reason"": ""<=30 words""}.

Product name: Skinny Cheapo 89
Product type: Trousers
Product color: Black
Detailed description: Slim-fit jeans in washed stretch denim with an adjustable elasticated waist (in sizes 8-12Y), zip fly and button, front and back pockets, and narrow hems.

Offered prices (USD): [5.99, 7.64, 7.99, 8.49, 8.56, 8.66, 8.85, 8.99, 9.52, 9.99]
"
P005,309864002,"[5.99, 7.64, 7.99, 8.49, 8.56, 8.66, 8.85, 8.99, 9.52, 9.99]",f27a748afbfd728dd9826ccc8f98a594,"You are a customer of H&M in the years 2018-2019. Your age is 45-54. You make about 1 to 5 purchases per month. Your typical paid price is between 14.37 and 16.60. Most of your purchases are in: Trousers.

Task: Given a product and a list of prices, return the probability you would buy at each price. Output JSON exactly: {""prices"": [...], ""p_buy"": [...], ""reason"": ""<=30 words""}.

Product name: Skinny Cheapo 89
Product type: Trousers
Product color: Black
Detailed description: Slim-fit jeans in washed stretch denim with an adjustable elasticated waist (in sizes 8-12Y), zip fly and button, front and back pockets, and narrow hems.

Offered prices (USD): [5.99, 7.64, 7.99, 8.49, 8.56, 8.66, 8.85, 8.99, 9.52, 9.99]
"
P006,309864002,"[5.99, 7.64, 7.99, 8.49, 8.56, 8.66, 8.85, 8.99, 9.52, 9.99]",f27a748afbfd728dd9826ccc8f98a594,"You are a customer of H&M in the years 2018-2019. Your age is 45-54. You make about 1 to 5 purchases per month. Your typical paid price is between 18.99 and 23.02. Most of your purchases are in: Trousers.

Task: Given a product and a list of prices, return the probability you would buy at each price. Output JSON exactly: {""prices"": [...], ""p_buy"": [...], ""reason"": ""<=30 words""}.

Product name: Skinny Cheapo 89
Product type: Trousers
Product color: Black
Detailed description: Slim-fit jeans in washed stretch denim with an adjustable elasticated waist (in sizes 8-12Y), zip fly and button, front and back pockets, and narrow hems.

Offered prices (USD): [5.99, 7.64, 7.99, 8.49, 8.56, 8.66, 8.85, 8.99, 9.52, 9.99]
"
P007,309864002,"[5.99, 7.64, 7.99, 8.49, 8.56, 8.66, 8.85, 8.99, 9.52, 9.99]",f27a748afbfd728dd9826ccc8f98a594,"You are a customer of H&M in the years 2018-2019. Your age is 25-34. You make about 0 to 1 purchases per month. Your typical paid price is between 19.49 and 25.37. Most of your purchases are in: Trousers.

Task: Given a product and a list of prices, return the probability you would buy at each price. Output JSON exactly: {""prices"": [...], ""p_buy"": [...], ""reason"": ""<=30 words""}.

Product name: Skinny Cheapo 89
Product type: Trousers
Product color: Black
Detailed description: Slim-fit jeans in washed stretch denim with an adjustable elasticated waist (in sizes 8-12Y), zip fly and button, front and back pockets, and narrow hems.

Offered prices (USD): [5.99, 7.64, 7.99, 8.49, 8.56, 8.66, 8.85, 8.99, 9.52, 9.99]
"
P008,309864002,"[5.99, 7.64, 7.99, 8.49, 8.56, 8.66, 8.85, 8.99, 9.52, 9.99]",f27a748afbfd728dd9826ccc8f98a594,"You are a customer of H&M in the years 2018-2019. Your age is 16-24. You make about 1 to 4 purchases per month. Your typical paid price is between 14.26 and 16.51. Most of your purchases are in: Trousers.

Task: Given a product and a list of prices, return the probability you would buy at each price. Output JSON exactly: {""prices"": [...], ""p_buy"": [...], ""reason"": ""<=30 words""}.

Product name: Skinny Cheapo 89
Product type: Trousers
Product color: Black
Detailed description: Slim-fit jeans in washed stretch denim with an adjustable elasticated waist (in sizes 8-12Y), zip fly and button, front and back pockets, and narrow hems.

Offered prices (USD): [5.99, 7.64, 7.99, 8.49, 8.56, 8.66, 8.85, 8.99, 9.52, 9.99]
"
P009,309864002,"[5.99, 7.64, 7.99, 8.49, 8.56, 8.66, 8.85, 8.99, 9.52, 9.99]",f27a748afbfd728dd9826ccc8f98a594,"You are a customer of H&M in the years 2018-2019. Your age is 25-34. You make about 1 to 5 purchases per month. Your typical paid price is between 14.17 and 16.44. Most of your purchases are in: Sweater.

Task: Given a product and a list of prices, return the probability you would buy at each price. Output JSON exactly: {""prices"": [...], ""p_buy"": [...], ""reason"": ""<=30 words""}.

Product name: Skinny Cheapo 89
Product type: Trousers
Product color: Black
Detailed description: Slim-fit jeans in washed stretch denim with an adjustable elasticated waist (in sizes 8-12Y), zip fly and button, front and back pockets, and narrow hems.

Offered prices (USD): [5.99, 7.64, 7.99, 8.49, 8.56, 8.66, 8.85, 8.99, 9.52, 9.99]
"
P010,309864002,"[5.99, 7.64, 7.99, 8.49, 8.56, 8.66, 8.85, 8.99, 9.52, 9.99]",f27a748afbfd728dd9826ccc8f98a594,"You are a customer of H&M in the years 2018-2019. Your age is 25-34. You make about 0 to 1 purchases per month. Your typical paid price is between 19.99 and 29.99. Most of your purchases are in: Trousers.

Task: Given a product and a list of prices, return the probability you would buy at each price. Output JSON exactly: {""prices"": [...], ""p_buy"": [...], ""reason"": ""<=30 words""}.

Product name: Skinny Cheapo 89
Product type: Trousers
Product color: Black
Detailed description: Slim-fit jeans in washed stretch denim with an adjustable elasticated waist (in sizes 8-12Y), zip fly and button, front and back pockets, and narrow hems.

Offered prices (USD): [5.99, 7.64, 7.99, 8.49, 8.56, 8.66, 8.85, 8.99, 9.52, 9.99]
"
